event_id,employee_id,event_type,event_date,event_value,remarks
39,EMP007,Contract Renewal,12-12-2024,6 months extension,First renewal review
40,EMP008,Bench Start,29-04-2024,2 days,Client Budget Hold
41,EMP008,Bench End,01-05-2024,2 days on bench,Deployment commenced
42,EMP008,Deployed,01-05-2024,Veluxtra Infotech,Initial deployment
43,EMP008,Contract Renewal,28-10-2024,6 months extension,First renewal review
44,EMP009,Deployed,19-03-2023,Veluxtra Infotech,Deployed on joining date
45,EMP009,Contract Closure,15-09-2023,Project ended,Budget Cut
46,EMP009,Bill Rate Revision,18-03-2024,INR 1422.31,Annual rate revision
47,EMP009,Contract Closure,13-03-2024,Project ended,Budget Cut
48,EMP009,Converted to FTE,11-02-2024,Converted to FTE,Personal reasons
49,EMP010,Bench Start,20-10-2023,13 days,Client Budget Hold
50,EMP010,Bench End,02-11-2023,13 days on bench,Deployment commenced
51,EMP010,Deployed,02-11-2023,Zephryn Technologies,Initial deployment
52,EMP010,Contract Renewal,30-04-2024,6 months extension,First renewal review
53,EMP010,Contract Closure,27-10-2024,Project ended,Client Decision
54,EMP011,Deployed,11-03-2023,Veluxtra Infotech,Deployed on joining date
55,EMP011,Contract Renewal,07-09-2023,6 months extension,First renewal review
56,EMP011,Resigned,29-10-2023,Resigned,Client absorption
57,EMP012,Deployed,13-04-2023,Altovex Systems,Deployed on joining date
58,EMP012,Contract Renewal,10-10-2023,6 months extension,First renewal review
59,EMP012,Appraisal,12-04-2024,7.6%,Annual appraisal cycle
60,EMP012,Resigned,03-12-2023,Resigned,Performance issue
61,EMP013,Deployed,18-12-2023,Brackenfield Bank,Deployed on joining date
62,EMP013,Contract Closure,15-06-2024,Project ended,Client Decision
63,EMP013,Appraisal,17-12-2024,8.6%,Annual appraisal cycle
64,EMP013,Resigned,31-12-2024,Resigned,Better opportunity
65,EMP014,Deployed,25-04-2023,Veluxtra Infotech,Deployed on joining date
66,EMP014,Contract Renewal,22-10-2023,6 months extension,First renewal review
67,EMP014,Appraisal,24-04-2024,11.8%,Annual appraisal cycle
68,EMP014,Contract Renewal,19-04-2024,6 months extension,Second renewal review
69,EMP014,Converted to FTE,12-04-2024,Converted to FTE,Performance issue
70,EMP015,Bench Start,21-02-2024,16 days,Client BGV Delay
71,EMP015,Bench End,08-03-2024,16 days on bench,Deployment commenced
72,EMP015,Deployed,08-03-2024,Veluxtra Infotech,Initial deployment
73,EMP015,Contract Renewal,04-09-2024,6 months extension,First renewal review
74,EMP016,Bench Start,17-07-2023,23 days,Client Budget Hold
75,EMP016,Bench End,09-08-2023,23 days on bench,Deployment commenced
76,EMP016,Deployed,09-08-2023,Orenvast Bank,Initial deployment
77,EMP016,Contract Renewal,05-02-2024,6 months extension,First renewal review
78,EMP016,Appraisal,16-07-2024,11.9%,Annual appraisal cycle
79,EMP016,Released,20-08-2024,Released,Client absorption
80,EMP017,Deployed,07-06-2024,Luminae Financial,Deployed on joining date
81,EMP017,Contract Closure,04-12-2024,Project ended,Performance
82,EMP017,Converted to FTE,31-12-2024,Converted to FTE,Performance issue
83,EMP018,Bench Start,30-10-2023,11 days,Internal Approvals
84,EMP018,Bench End,10-11-2023,11 days on bench,Deployment commenced
85,EMP018,Deployed,10-11-2023,Luminae Financial,Initial deployment
86,EMP018,Contract Renewal,08-05-2024,6 months extension,First renewal review
87,EMP018,Appraisal,29-10-2024,11.3%,Annual appraisal cycle
88,EMP018,Contract Renewal,04-11-2024,6 months extension,Second renewal review
89,EMP019,Bench Start,28-03-2023,3 days,Client BGV Delay
90,EMP019,Bench End,31-03-2023,3 days on bench,Deployment commenced
91,EMP019,Deployed,31-03-2023,Zephryn Technologies,Initial deployment
92,EMP019,Contract Closure,27-09-2023,Project ended,Budget Cut
93,EMP019,Bill Rate Revision,30-03-2024,INR 4623.09,Annual rate revision
94,EMP019,Appraisal,27-03-2024,10.3%,Annual appraisal cycle
95,EMP019,Resigned,15-06-2024,Resigned,Personal reasons
96,EMP020,Bench Start,06-01-2023,7 days,Documentation Pending
97,EMP020,Bench End,13-01-2023,7 days on bench,Deployment commenced
98,EMP020,Deployed,13-01-2023,Zephryn Technologies,Initial deployment
99,EMP020,Contract Renewal,12-07-2023,6 months extension,First renewal review
100,EMP020,Appraisal,06-01-2024,13.1%,Annual appraisal cycle
101,EMP020,Released,21-05-2024,Released,Personal reasons
102,EMP021,Bench Start,11-09-2023,3 days,Internal Approvals
103,EMP021,Bench End,14-09-2023,3 days on bench,Deployment commenced
104,EMP021,Deployed,14-09-2023,Brackenfield Bank,Initial deployment
105,EMP021,Contract Closure,12-03-2024,Project ended,Budget Cut
106,EMP021,Appraisal,10-09-2024,13.2%,Annual appraisal cycle
107,EMP021,Resigned,08-08-2024,Resigned,Budget cut
108,EMP022,Deployed,01-03-2024,Zephryn Technologies,Deployed on joining date
109,EMP022,Contract Renewal,28-08-2024,6 months extension,First renewal review
110,EMP022,Released,31-12-2024,Released,Better opportunity
111,EMP023,Bench Start,11-12-2023,20 days,Visa Processing
112,EMP023,Bench End,31-12-2023,20 days on bench,Deployment commenced
113,EMP023,Deployed,31-12-2023,Brackenfield Bank,Initial deployment
114,EMP023,Contract Renewal,28-06-2024,6 months extension,First renewal review
115,EMP023,Bill Rate Revision,30-12-2024,USD 22.52,Annual rate revision
116,EMP023,Contract Closure,25-12-2024,Project ended,Budget Cut
117,EMP024,Bench Start,07-03-2024,3 days,Visa Processing
118,EMP024,Bench End,10-03-2024,3 days on bench,Deployment commenced
119,EMP024,Deployed,10-03-2024,Zephryn Technologies,Initial deployment
120,EMP024,Contract Renewal,06-09-2024,6 months extension,First renewal review
121,EMP025,Bench Start,28-04-2023,15 days,Client BGV Delay
122,EMP025,Bench End,13-05-2023,15 days on bench,Deployment commenced
123,EMP025,Deployed,13-05-2023,Zephryn Technologies,Initial deployment
124,EMP025,Contract Renewal,09-11-2023,6 months extension,First renewal review
125,EMP025,Bill Rate Revision,12-05-2024,INR 2907.59,Annual rate revision
126,EMP025,Appraisal,27-04-2024,8.9%,Annual appraisal cycle
127,EMP025,Contract Renewal,07-05-2024,6 months extension,Second renewal review
128,EMP025,Converted to FTE,29-02-2024,Converted to FTE,Performance issue
129,EMP026,Bench Start,29-06-2024,3 days,Role Redefinition
130,EMP026,Bench End,02-07-2024,3 days on bench,Deployment commenced
131,EMP026,Deployed,02-07-2024,Veluxtra Infotech,Initial deployment
132,EMP026,Contract Renewal,29-12-2024,6 months extension,First renewal review
133,EMP027,Deployed,30-03-2023,Zephryn Technologies,Deployed on joining date
134,EMP027,Contract Renewal,26-09-2023,6 months extension,First renewal review
135,EMP027,Appraisal,29-03-2024,6.1%,Annual appraisal cycle
136,EMP027,Released,25-12-2023,Released,Client absorption
137,EMP028,Deployed,10-10-2023,Luminae Financial,Deployed on joining date
138,EMP028,Contract Renewal,07-04-2024,6 months extension,First renewal review
139,EMP028,Appraisal,09-10-2024,13.8%,Annual appraisal cycle
140,EMP028,Resigned,19-10-2024,Resigned,Better opportunity
141,EMP029,Bench Start,27-12-2023,6 days,Documentation Pending
142,EMP029,Bench End,02-01-2024,6 days on bench,Deployment commenced
143,EMP029,Deployed,02-01-2024,Orenvast Bank,Initial deployment
144,EMP029,Contract Renewal,30-06-2024,6 months extension,First renewal review
145,EMP029,Appraisal,26-12-2024,10.4%,Annual appraisal cycle
146,EMP029,Contract Renewal,27-12-2024,6 months extension,Second renewal review
147,EMP030,Bench Start,16-02-2023,10 days,Client Budget Hold
148,EMP030,Bench End,26-02-2023,10 days on bench,Deployment commenced
149,EMP030,Deployed,26-02-2023,Luminae Financial,Initial deployment
150,EMP030,Contract Renewal,25-08-2023,6 months extension,First renewal review
151,EMP030,Contract Renewal,21-02-2024,6 months extension,Second renewal review
152,EMP031,Deployed,24-02-2023,Zephryn Technologies,Deployed on joining date
153,EMP031,Contract Renewal,23-08-2023,6 months extension,First renewal review
154,EMP031,Appraisal,24-02-2024,10.8%,Annual appraisal cycle
155,EMP031,Contract Renewal,19-02-2024,6 months extension,Second renewal review
156,EMP031,Converted to FTE,08-01-2024,Converted to FTE,Client absorption
157,EMP032,Deployed,03-09-2023,Altovex Systems,Deployed on joining date
158,EMP032,Contract Renewal,01-03-2024,6 months extension,First renewal review
159,EMP032,Bill Rate Revision,02-09-2024,USD 11.76,Annual rate revision
160,EMP032,Contract Renewal,28-08-2024,6 months extension,Second renewal review
161,EMP033,Bench Start,11-03-2024,16 days,Visa Processing
162,EMP033,Bench End,27-03-2024,16 days on bench,Deployment commenced
163,EMP033,Deployed,27-03-2024,Luminae Financial,Initial deployment
164,EMP033,Contract Renewal,23-09-2024,6 months extension,First renewal review
165,EMP034,Bench Start,22-01-2023,13 days,Client BGV Delay
166,EMP034,Bench End,04-02-2023,13 days on bench,Deployment commenced
167,EMP034,Deployed,04-02-2023,Brackenfield Bank,Initial deployment
168,EMP034,Contract Renewal,03-08-2023,6 months extension,First renewal review
169,EMP034,Appraisal,22-01-2024,11.8%,Annual appraisal cycle
170,EMP034,Contract Renewal,30-01-2024,6 months extension,Second renewal review
171,EMP035,Deployed,19-11-2023,Orenvast Bank,Deployed on joining date
172,EMP035,Contract Renewal,17-05-2024,6 months extension,First renewal review
173,EMP035,Appraisal,18-11-2024,11.3%,Annual appraisal cycle
174,EMP035,Released,01-09-2024,Released,Better opportunity
175,EMP036,Deployed,22-10-2023,Veluxtra Infotech,Deployed on joining date
176,EMP036,Contract Closure,19-04-2024,Project ended,Performance
177,EMP036,Appraisal,21-10-2024,9.5%,Annual appraisal cycle
178,EMP036,Released,29-12-2024,Released,Client absorption
179,EMP037,Deployed,28-04-2024,Altovex Systems,Deployed on joining date
180,EMP037,Contract Renewal,25-10-2024,6 months extension,First renewal review
181,EMP038,Bench Start,02-06-2023,10 days,Documentation Pending
182,EMP038,Bench End,12-06-2023,10 days on bench,Deployment commenced
183,EMP038,Deployed,12-06-2023,Luminae Financial,Initial deployment
184,EMP038,Contract Renewal,09-12-2023,6 months extension,First renewal review
185,EMP038,Bill Rate Revision,11-06-2024,INR 2564.36,Annual rate revision
186,EMP038,Appraisal,01-06-2024,13.9%,Annual appraisal cycle
187,EMP038,Contract Renewal,06-06-2024,6 months extension,Second renewal review
188,EMP038,Converted to FTE,20-01-2024,Converted to FTE,Better opportunity
189,EMP039,Bench Start,06-12-2023,14 days,Visa Processing
190,EMP039,Bench End,20-12-2023,14 days on bench,Deployment commenced
191,EMP039,Deployed,20-12-2023,Veluxtra Infotech,Initial deployment
192,EMP039,Contract Renewal,17-06-2024,6 months extension,First renewal review
193,EMP039,Appraisal,05-12-2024,14.3%,Annual appraisal cycle
194,EMP039,Released,02-09-2024,Released,Performance issue
195,EMP040,Bench Start,06-02-2023,26 days,Client Budget Hold
196,EMP040,Bench End,04-03-2023,26 days on bench,Deployment commenced
197,EMP040,Deployed,04-03-2023,Luminae Financial,Initial deployment
198,EMP040,Contract Renewal,31-08-2023,6 months extension,First renewal review
199,EMP040,Bill Rate Revision,03-03-2024,INR 4950.28,Annual rate revision
200,EMP040,Resigned,28-03-2024,Resigned,Better opportunity
201,EMP041,Deployed,04-07-2023,Veluxtra Infotech,Deployed on joining date
202,EMP041,Contract Renewal,31-12-2023,6 months extension,First renewal review
203,EMP041,Appraisal,03-07-2024,11.6%,Annual appraisal cycle
204,EMP041,Contract Renewal,28-06-2024,6 months extension,Second renewal review
205,EMP042,Bench Start,03-11-2023,6 days,Documentation Pending
206,EMP042,Bench End,09-11-2023,6 days on bench,Deployment commenced
207,EMP042,Deployed,09-11-2023,Zephryn Technologies,Initial deployment
208,EMP042,Contract Renewal,07-05-2024,6 months extension,First renewal review
209,EMP042,Contract Renewal,03-11-2024,6 months extension,Second renewal review
210,EMP042,Converted to FTE,02-12-2024,Converted to FTE,Better opportunity
211,EMP043,Bench Start,27-12-2023,13 days,Visa Processing
212,EMP043,Bench End,09-01-2024,13 days on bench,Deployment commenced
213,EMP043,Deployed,09-01-2024,Orenvast Bank,Initial deployment
214,EMP043,Contract Renewal,07-07-2024,6 months extension,First renewal review
215,EMP044,Bench Start,08-05-2024,20 days,Documentation Pending
216,EMP044,Bench End,28-05-2024,20 days on bench,Deployment commenced
217,EMP044,Deployed,28-05-2024,Altovex Systems,Initial deployment
218,EMP044,Contract Renewal,24-11-2024,6 months extension,First renewal review
219,EMP045,Bench Start,21-04-2023,9 days,Role Redefinition
220,EMP045,Bench End,30-04-2023,9 days on bench,Deployment commenced
221,EMP045,Deployed,30-04-2023,Veluxtra Infotech,Initial deployment
222,EMP045,Contract Renewal,27-10-2023,6 months extension,First renewal review
223,EMP045,Resigned,09-11-2023,Resigned,Budget cut
224,EMP046,Deployed,02-02-2024,Veluxtra Infotech,Deployed on joining date
225,EMP046,Contract Renewal,31-07-2024,6 months extension,First renewal review
226,EMP047,Bench Start,14-07-2023,14 days,Client Budget Hold
227,EMP047,Bench End,28-07-2023,14 days on bench,Deployment commenced
228,EMP047,Deployed,28-07-2023,Altovex Systems,Initial deployment
229,EMP047,Contract Renewal,24-01-2024,6 months extension,First renewal review
230,EMP047,Bill Rate Revision,27-07-2024,USD 29.28,Annual rate revision
231,EMP047,Released,13-02-2024,Released,Personal reasons
232,EMP048,Bench Start,29-05-2023,5 days,Client Budget Hold
233,EMP048,Bench End,03-06-2023,5 days on bench,Deployment commenced
234,EMP048,Deployed,03-06-2023,Veluxtra Infotech,Initial deployment
235,EMP048,Contract Renewal,30-11-2023,6 months extension,First renewal review
236,EMP048,Appraisal,28-05-2024,13.6%,Annual appraisal cycle
237,EMP048,Contract Renewal,28-05-2024,6 months extension,Second renewal review
238,EMP049,Deployed,22-04-2023,Luminae Financial,Deployed on joining date
239,EMP049,Contract Renewal,19-10-2023,6 months extension,First renewal review
240,EMP049,Bill Rate Revision,21-04-2024,INR 1516.43,Annual rate revision
241,EMP049,Resigned,15-01-2024,Resigned,Personal reasons
242,EMP050,Bench Start,29-11-2023,12 days,Client Budget Hold
243,EMP050,Bench End,11-12-2023,12 days on bench,Deployment commenced
244,EMP050,Deployed,11-12-2023,Veluxtra Infotech,Initial deployment
245,EMP050,Contract Renewal,08-06-2024,6 months extension,First renewal review
246,EMP050,Released,04-08-2024,Released,Budget cut
247,EMP051,Bench Start,10-03-2023,1 days,Client Budget Hold
248,EMP051,Bench End,11-03-2023,1 days on bench,Deployment commenced
249,EMP051,Deployed,11-03-2023,Zephryn Technologies,Initial deployment
250,EMP051,Contract Renewal,07-09-2023,6 months extension,First renewal review
251,EMP051,Appraisal,09-03-2024,10.4%,Annual appraisal cycle
252,EMP051,Resigned,30-03-2024,Resigned,Contract ended
253,EMP052,Bench Start,21-04-2023,10 days,Client BGV Delay
254,EMP052,Bench End,01-05-2023,10 days on bench,Deployment commenced
255,EMP052,Deployed,01-05-2023,Luminae Financial,Initial deployment
256,EMP052,Contract Renewal,28-10-2023,6 months extension,First renewal review
257,EMP052,Appraisal,20-04-2024,7.6%,Annual appraisal cycle
258,EMP052,Released,29-07-2024,Released,Personal reasons
259,EMP053,Deployed,13-03-2023,Veluxtra Infotech,Deployed on joining date
260,EMP053,Contract Renewal,09-09-2023,6 months extension,First renewal review
261,EMP053,Released,18-08-2024,Released,Personal reasons
262,EMP054,Bench Start,28-03-2024,2 days,Client BGV Delay
263,EMP054,Bench End,30-03-2024,2 days on bench,Deployment commenced
264,EMP054,Deployed,30-03-2024,Brackenfield Bank,Initial deployment
265,EMP054,Contract Closure,26-09-2024,Project ended,Client Decision
266,EMP054,Released,31-12-2024,Released,Performance issue
267,EMP055,Deployed,29-12-2023,Altovex Systems,Deployed on joining date
268,EMP055,Contract Closure,26-06-2024,Project ended,Project Completion
269,EMP055,Appraisal,28-12-2024,7.4%,Annual appraisal cycle
270,EMP055,Contract Renewal,23-12-2024,6 months extension,Second renewal review
271,EMP056,Bench Start,15-02-2024,4 days,Client Budget Hold
272,EMP056,Bench End,19-02-2024,4 days on bench,Deployment commenced
273,EMP056,Deployed,19-02-2024,Altovex Systems,Initial deployment
274,EMP056,Contract Closure,17-08-2024,Project ended,Project Completion
275,EMP057,Bench Start,20-05-2024,14 days,Internal Approvals
276,EMP057,Bench End,03-06-2024,14 days on bench,Deployment commenced
277,EMP057,Deployed,03-06-2024,Luminae Financial,Initial deployment
278,EMP057,Contract Renewal,30-11-2024,6 months extension,First renewal review
279,EMP058,Bench Start,29-01-2024,5 days,Role Redefinition
280,EMP058,Bench End,03-02-2024,5 days on bench,Deployment commenced
281,EMP058,Deployed,03-02-2024,Brackenfield Bank,Initial deployment
282,EMP058,Contract Renewal,01-08-2024,6 months extension,First renewal review
283,EMP059,Bench Start,13-12-2023,6 days,Internal Approvals
284,EMP059,Bench End,19-12-2023,6 days on bench,Deployment commenced
285,EMP059,Deployed,19-12-2023,Brackenfield Bank,Initial deployment
286,EMP059,Contract Renewal,16-06-2024,6 months extension,First renewal review
287,EMP059,Appraisal,12-12-2024,8.0%,Annual appraisal cycle
288,EMP059,Released,16-09-2024,Released,Personal reasons
289,EMP060,Deployed,23-06-2024,Altovex Systems,Deployed on joining date
290,EMP060,Contract Renewal,20-12-2024,6 months extension,First renewal review
291,EMP061,Deployed,23-06-2024,Luminae Financial,Deployed on joining date
292,EMP061,Contract Renewal,20-12-2024,6 months extension,First renewal review
293,EMP061,Released,31-12-2024,Released,Better opportunity
294,EMP062,Bench Start,12-01-2024,12 days,Documentation Pending
295,EMP062,Bench End,24-01-2024,12 days on bench,Deployment commenced
296,EMP062,Deployed,24-01-2024,Orenvast Bank,Initial deployment
297,EMP062,Contract Renewal,22-07-2024,6 months extension,First renewal review
298,EMP063,Deployed,19-10-2023,Luminae Financial,Deployed on joining date
299,EMP063,Contract Renewal,16-04-2024,6 months extension,First renewal review
300,EMP063,Bill Rate Revision,18-10-2024,INR 1422.27,Annual rate revision
301,EMP063,Appraisal,18-10-2024,11.1%,Annual appraisal cycle
302,EMP063,Contract Renewal,13-10-2024,6 months extension,Second renewal review
303,EMP064,Bench Start,21-10-2023,11 days,Client BGV Delay
304,EMP064,Bench End,01-11-2023,11 days on bench,Deployment commenced
305,EMP064,Deployed,01-11-2023,Brackenfield Bank,Initial deployment
306,EMP064,Contract Renewal,29-04-2024,6 months extension,First renewal review
307,EMP064,Appraisal,20-10-2024,13.8%,Annual appraisal cycle
308,EMP064,Released,31-12-2024,Released,Personal reasons
309,EMP065,Bench Start,11-06-2024,6 days,Client BGV Delay
310,EMP065,Bench End,17-06-2024,6 days on bench,Deployment commenced
311,EMP065,Deployed,17-06-2024,Veluxtra Infotech,Initial deployment
312,EMP065,Contract Renewal,14-12-2024,6 months extension,First renewal review
313,EMP065,Released,31-12-2024,Released,Client absorption
314,EMP066,Bench Start,07-12-2023,2 days,Documentation Pending
315,EMP066,Bench End,09-12-2023,2 days on bench,Deployment commenced
316,EMP066,Deployed,09-12-2023,Altovex Systems,Initial deployment
317,EMP066,Contract Closure,06-06-2024,Project ended,Project Completion
318,EMP066,Appraisal,06-12-2024,11.1%,Annual appraisal cycle
319,EMP066,Released,31-12-2024,Released,Budget cut
320,EMP067,Bench Start,01-01-2024,7 days,Visa Processing
321,EMP067,Bench End,08-01-2024,7 days on bench,Deployment commenced
322,EMP067,Deployed,08-01-2024,Orenvast Bank,Initial deployment
323,EMP067,Contract Renewal,06-07-2024,6 months extension,First renewal review
324,EMP067,Appraisal,31-12-2024,12.0%,Annual appraisal cycle
325,EMP068,Deployed,12-03-2024,Brackenfield Bank,Deployed on joining date
326,EMP068,Contract Renewal,08-09-2024,6 months extension,First renewal review
327,EMP069,Bench Start,10-03-2023,2 days,Visa Processing
328,EMP069,Bench End,12-03-2023,2 days on bench,Deployment commenced
329,EMP069,Deployed,12-03-2023,Veluxtra Infotech,Initial deployment
330,EMP069,Contract Renewal,08-09-2023,6 months extension,First renewal review
331,EMP069,Bill Rate Revision,11-03-2024,INR 2835.12,Annual rate revision
332,EMP069,Appraisal,09-03-2024,12.4%,Annual appraisal cycle
333,EMP069,Contract Closure,06-03-2024,Project ended,Project Completion
334,EMP070,Bench Start,20-10-2023,15 days,Client BGV Delay
335,EMP070,Bench End,04-11-2023,15 days on bench,Deployment commenced
336,EMP070,Deployed,04-11-2023,Altovex Systems,Initial deployment
337,EMP070,Contract Renewal,02-05-2024,6 months extension,First renewal review
338,EMP070,Bill Rate Revision,03-11-2024,USD 21.05,Annual rate revision
339,EMP070,Appraisal,19-10-2024,8.4%,Annual appraisal cycle
340,EMP070,Contract Renewal,29-10-2024,6 months extension,Second renewal review
341,EMP070,Converted to FTE,06-08-2024,Converted to FTE,Personal reasons
342,EMP071,Bench Start,13-01-2024,14 days,Client BGV Delay
343,EMP071,Bench End,27-01-2024,14 days on bench,Deployment commenced
344,EMP071,Deployed,27-01-2024,Luminae Financial,Initial deployment
345,EMP071,Contract Renewal,25-07-2024,6 months extension,First renewal review
346,EMP071,Resigned,17-08-2024,Resigned,Contract ended
347,EMP072,Bench Start,15-06-2023,17 days,Documentation Pending
348,EMP072,Bench End,02-07-2023,17 days on bench,Deployment commenced
349,EMP072,Deployed,02-07-2023,Orenvast Bank,Initial deployment
350,EMP072,Contract Renewal,29-12-2023,6 months extension,First renewal review
351,EMP072,Resigned,05-10-2024,Resigned,Budget cut
352,EMP073,Bench Start,04-08-2023,7 days,Client BGV Delay
353,EMP073,Bench End,11-08-2023,7 days on bench,Deployment commenced
354,EMP073,Deployed,11-08-2023,Orenvast Bank,Initial deployment
355,EMP073,Contract Closure,07-02-2024,Project ended,Client Decision
356,EMP073,Resigned,18-12-2024,Resigned,Better opportunity
357,EMP074,Deployed,23-11-2023,Orenvast Bank,Deployed on joining date
358,EMP074,Contract Renewal,21-05-2024,6 months extension,First renewal review
359,EMP074,Resigned,20-06-2024,Resigned,Client absorption
360,EMP075,Bench Start,23-04-2024,4 days,Role Redefinition
361,EMP075,Bench End,27-04-2024,4 days on bench,Deployment commenced
362,EMP075,Deployed,27-04-2024,Zephryn Technologies,Initial deployment
363,EMP075,Contract Renewal,24-10-2024,6 months extension,First renewal review
364,EMP075,Resigned,31-12-2024,Resigned,Better opportunity
365,EMP076,Deployed,23-10-2023,Brackenfield Bank,Deployed on joining date
366,EMP076,Contract Closure,20-04-2024,Project ended,Project Completion
367,EMP076,Released,19-07-2024,Released,Performance issue
368,EMP077,Deployed,11-06-2024,Brackenfield Bank,Deployed on joining date
369,EMP077,Contract Closure,08-12-2024,Project ended,Client Decision
370,EMP078,Bench Start,22-08-2023,11 days,Visa Processing
371,EMP078,Bench End,02-09-2023,11 days on bench,Deployment commenced
372,EMP078,Deployed,02-09-2023,Altovex Systems,Initial deployment
373,EMP078,Contract Renewal,29-02-2024,6 months extension,First renewal review
374,EMP078,Bill Rate Revision,01-09-2024,USD 16.54,Annual rate revision
375,EMP078,Released,17-06-2024,Released,Client absorption
376,EMP079,Deployed,27-04-2024,Zephryn Technologies,Deployed on joining date
377,EMP079,Contract Renewal,24-10-2024,6 months extension,First renewal review
378,EMP080,Bench Start,13-10-2023,10 days,Internal Approvals
379,EMP080,Bench End,23-10-2023,10 days on bench,Deployment commenced
380,EMP080,Deployed,23-10-2023,Orenvast Bank,Initial deployment
381,EMP080,Contract Renewal,20-04-2024,6 months extension,First renewal review
382,EMP080,Bill Rate Revision,22-10-2024,USD 17.27,Annual rate revision
383,EMP080,Released,31-12-2024,Released,Client absorption
384,EMP081,Bench Start,05-10-2023,10 days,Documentation Pending
385,EMP081,Bench End,15-10-2023,10 days on bench,Deployment commenced
386,EMP081,Deployed,15-10-2023,Altovex Systems,Initial deployment
387,EMP081,Contract Renewal,12-04-2024,6 months extension,First renewal review
388,EMP081,Bill Rate Revision,14-10-2024,USD 20.16,Annual rate revision
389,EMP081,Appraisal,04-10-2024,12.8%,Annual appraisal cycle
390,EMP081,Resigned,12-04-2024,Resigned,Personal reasons
391,EMP082,Bench Start,02-05-2024,4 days,Documentation Pending
392,EMP082,Bench End,06-05-2024,4 days on bench,Deployment commenced
393,EMP082,Deployed,06-05-2024,Luminae Financial,Initial deployment
394,EMP082,Contract Renewal,02-11-2024,6 months extension,First renewal review
395,EMP083,Bench Start,19-10-2023,4 days,Visa Processing
396,EMP083,Bench End,23-10-2023,4 days on bench,Deployment commenced
397,EMP083,Deployed,23-10-2023,Brackenfield Bank,Initial deployment
398,EMP083,Contract Closure,20-04-2024,Project ended,Client Decision
399,EMP083,Contract Renewal,17-10-2024,6 months extension,Second renewal review
400,EMP084,Deployed,08-04-2023,Orenvast Bank,Deployed on joining date
401,EMP084,Contract Renewal,05-10-2023,6 months extension,First renewal review
402,EMP084,Resigned,27-01-2024,Resigned,Contract ended
403,EMP085,Bench Start,15-11-2023,6 days,Documentation Pending
404,EMP085,Bench End,21-11-2023,6 days on bench,Deployment commenced
405,EMP085,Deployed,21-11-2023,Luminae Financial,Initial deployment
406,EMP085,Contract Renewal,19-05-2024,6 months extension,First renewal review
407,EMP085,Contract Renewal,15-11-2024,6 months extension,Second renewal review
408,EMP086,Bench Start,01-06-2024,2 days,Client Budget Hold
409,EMP086,Bench End,03-06-2024,2 days on bench,Deployment commenced
